id;1;2;3;4;5;source;target;weight;Alexa;Circulation
3.8;12757;The Dawn;worker;20;138;CNN;company;1;1864;109000
3.9;12777;The Dawn;driver;20;139;CNN;company;1;1864;109000
3.10;12797;The Dawn;world;19;140;CNN;company;1;1864;109000
10.1;12816;Today's Zaman;growth;65;141;CNN;company;1;31507;8445
10.2;12881;Today's Zaman;world;56;142;CNN;company;1;31507;8445
10.5;12937;Today's Zaman;business;35;143;CNN;company;1;31507;8445
10.6;12972;Today's Zaman;people;28;144;CNN;company;1;31507;8445
10.7;13000;Today's Zaman;government;35;145;CNN;company;1;31507;8445
10.8;13035;Today's Zaman;uber;22;146;CNN;company;1;31507;8445
10.9;13057;Today's Zaman;worker;21;147;CNN;reputation;1;31507;8445
10.10;13078;Today's Zaman;employment;21;148;CNN;reputation;1;31507;8445
10.11;13099;Today's Zaman;market;20;149;CNN;reputation;1;31507;8445
10.12;13119;Today's Zaman;labor;19;150;CNN;reputation;1;31507;8445
;;;;13137;151;CNN;reputation;1;;
;;;;;152;CNN;reputation;1;;
;;;;;153;CNN;reputation;1;;
;;;;;154;CNN;reputation;1;;
;;;;;155;CNN;reputation;1;;
;;;;;156;CNN;reputation;1;;
;;;;;157;CNN;reputation;1;;
;;;;;158;CNN;reputation;1;;
;;;;;159;CNN;reputation;1;;
;;;;;160;CNN;reputation;1;;
;;;;;161;CNN;reputation;1;;
;;;;;162;CNN;reputation;1;;
;;;;;163;CNN;reputation;1;;
;;;;;164;CNN;reputation;1;;
;;;;;165;CNN;reputation;1;;
;;;;;166;CNN;reputation;1;;
;;;;;167;CNN;reputation;1;;
;;;;;168;CNN;reputation;1;;
;;;;;169;CNN;reputation;1;;
;;;;;170;CNN;reputation;1;;
;;;;;171;CNN;global;1;;
;;;;;172;CNN;global;1;;
;;;;;173;CNN;global;1;;
;;;;;174;CNN;global;1;;
;;;;;175;CNN;global;1;;
;;;;;176;CNN;global;1;;
;;;;;177;CNN;global;1;;
;;;;;178;CNN;global;1;;
;;;;;179;CNN;global;1;;
;;;;;180;CNN;global;1;;
;;;;;181;CNN;global;1;;
;;;;;182;CNN;global;1;;
;;;;;183;CNN;global;1;;
;;;;;184;CNN;global;1;;
;;;;;185;CNN;global;1;;
;;;;;186;CNN;global;1;;
;;;;;187;CNN;global;1;;
;;;;;188;CNN;global;1;;
;;;;;189;CNN;global;1;;
;;;;;190;CNN;global;1;;
;;;;;191;CNN;global;1;;
;;;;;192;CNN;global;1;;
;;;;;193;CNN;global;1;;
;;;;;194;CNN;consumer;1;;
;;;;;195;CNN;consumer;1;;
;;;;;196;CNN;consumer;1;;
;;;;;197;CNN;consumer;1;;
;;;;;198;CNN;consumer;1;;
;;;;;199;CNN;consumer;1;;
;;;;;200;CNN;consumer;1;;
;;;;;201;CNN;consumer;1;;
;;;;;202;CNN;consumer;1;;
;;;;;203;CNN;consumer;1;;
;;;;;204;CNN;consumer;1;;
;;;;;205;CNN;consumer;1;;
;;;;;206;CNN;consumer;1;;
;;;;;207;CNN;consumer;1;;
;;;;;208;CNN;consumer;1;;
;;;;;209;CNN;consumer;1;;
;;;;;210;CNN;consumer;1;;
;;;;;211;CNN;consumer;1;;
;;;;;212;CNN;consumer;1;;
;;;;;213;CNN;consumer;1;;
;;;;;214;CNN;consumer;1;;
;;;;;215;CNN;consumer;1;;
;;;;;216;CNN;business;1;;
;;;;;217;CNN;business;1;;
;;;;;218;CNN;business;1;;
;;;;;219;CNN;business;1;;
;;;;;220;CNN;business;1;;
;;;;;221;CNN;business;1;;
;;;;;222;CNN;business;1;;
;;;;;223;CNN;business;1;;
;;;;;224;CNN;business;1;;
;;;;;225;CNN;business;1;;
;;;;;226;CNN;business;1;;
;;;;;227;CNN;business;1;;
;;;;;228;CNN;business;1;;
;;;;;229;CNN;business;1;;
;;;;;230;CNN;business;1;;
;;;;;231;CNN;business;1;;
;;;;;232;CNN;business;1;;
